0.8026425330973375{'learning_rate': 0.01, 'n_estimators': 20}
0.9079914815044556{'learning_rate': 0.01, 'n_estimators': 40}
0.9283702189907623{'learning_rate': 0.01, 'n_estimators': 60}
0.9341029569142917{'learning_rate': 0.01, 'n_estimators': 80}
0.9361251179628072{'learning_rate': 0.01, 'n_estimators': 100}
0.9369693273214207{'learning_rate': 0.01, 'n_estimators': 120}
0.9376859201640972{'learning_rate': 0.01, 'n_estimators': 140}
0.9380883943869277{'learning_rate': 0.01, 'n_estimators': 160}
0.9386381136550191{'learning_rate': 0.01, 'n_estimators': 180}
0.9390405816146045{'learning_rate': 0.01, 'n_estimators': 200}
0.935310358865895{'learning_rate': 0.05, 'n_estimators': 20}
0.9385006840788904{'learning_rate': 0.05, 'n_estimators': 40}
0.939609926521291{'learning_rate': 0.05, 'n_estimators': 60}
0.940208712535705{'learning_rate': 0.05, 'n_estimators': 80}
0.9410921842526353{'learning_rate': 0.05, 'n_estimators': 100}
0.9409351232564541{'learning_rate': 0.05, 'n_estimators': 120}
0.9411020026124959{'learning_rate': 0.05, 'n_estimators': 140}
0.9411805292562818{'learning_rate': 0.05, 'n_estimators': 160}
0.9410725489782779{'learning_rate': 0.05, 'n_estimators': 180}
0.9409940218527041{'learning_rate': 0.05, 'n_estimators': 200}
0.9365177752711414{'learning_rate': 0.1, 'n_estimators': 20}
0.9360269439999614{'learning_rate': 0.1, 'n_estimators': 40}
0.937185273423785{'learning_rate': 0.1, 'n_estimators': 60}
0.9358404312967146{'learning_rate': 0.1, 'n_estimators': 80}
0.9362134610393011{'learning_rate': 0.1, 'n_estimators': 100}
0.9355263160493857{'learning_rate': 0.1, 'n_estimators': 120}
0.9357030277371436{'learning_rate': 0.1, 'n_estimators': 140}
0.9351042089611383{'learning_rate': 0.1, 'n_estimators': 160}
0.9358698844491447{'learning_rate': 0.1, 'n_estimators': 180}
0.9356539152209511{'learning_rate': 0.1, 'n_estimators': 200}
0.9098661580590202{'learning_rate': 0.2, 'n_estimators': 20}
0.9345741408664117{'learning_rate': 0.2, 'n_estimators': 40}
0.9339066200697268{'learning_rate': 0.2, 'n_estimators': 60}
0.9328268115082317{'learning_rate': 0.2, 'n_estimators': 80}
0.9284094216073535{'learning_rate': 0.2, 'n_estimators': 100}
0.9317960908917355{'learning_rate': 0.2, 'n_estimators': 120}
0.931138390863852{'learning_rate': 0.2, 'n_estimators': 140}
0.9302647326889015{'learning_rate': 0.2, 'n_estimators': 160}
0.9299800624036048{'learning_rate': 0.2, 'n_estimators': 180}
0.9288609963016741{'learning_rate': 0.2, 'n_estimators': 200}
