0.7620912537993509{'learning_rate': 0.01, 'n_estimators': 20}
0.8608926960320533{'learning_rate': 0.01, 'n_estimators': 40}
0.877393990295583{'learning_rate': 0.01, 'n_estimators': 60}
0.8832739506203323{'learning_rate': 0.01, 'n_estimators': 80}
0.8857869395675108{'learning_rate': 0.01, 'n_estimators': 100}
0.8873281007129862{'learning_rate': 0.01, 'n_estimators': 120}
0.8885944041515682{'learning_rate': 0.01, 'n_estimators': 140}
0.8893502564618325{'learning_rate': 0.01, 'n_estimators': 160}
0.8894582357762599{'learning_rate': 0.01, 'n_estimators': 180}
0.890174831027877{'learning_rate': 0.01, 'n_estimators': 200}
0.8858556594143504{'learning_rate': 0.05, 'n_estimators': 20}
0.8901061179260708{'learning_rate': 0.05, 'n_estimators': 40}
0.8933356915255277{'learning_rate': 0.05, 'n_estimators': 60}
0.8953480438499447{'learning_rate': 0.05, 'n_estimators': 80}
0.896496557804636{'learning_rate': 0.05, 'n_estimators': 100}
0.8974192899527307{'learning_rate': 0.05, 'n_estimators': 120}
0.8977726791212908{'learning_rate': 0.05, 'n_estimators': 140}
0.8978512101011695{'learning_rate': 0.05, 'n_estimators': 160}
0.8980082710973507{'learning_rate': 0.05, 'n_estimators': 180}
0.8980966194735138{'learning_rate': 0.05, 'n_estimators': 200}
0.8883293729949333{'learning_rate': 0.1, 'n_estimators': 20}
0.8938265367685629{'learning_rate': 0.1, 'n_estimators': 40}
0.8953088152167956{'learning_rate': 0.1, 'n_estimators': 60}
0.8954953332197115{'learning_rate': 0.1, 'n_estimators': 80}
0.8957800068775252{'learning_rate': 0.1, 'n_estimators': 100}
0.8953971867187882{'learning_rate': 0.1, 'n_estimators': 120}
0.8952204711767253{'learning_rate': 0.1, 'n_estimators': 140}
0.8938265415864439{'learning_rate': 0.1, 'n_estimators': 160}
0.8937872681470008{'learning_rate': 0.1, 'n_estimators': 180}
0.8935909385292575{'learning_rate': 0.1, 'n_estimators': 200}
0.8882802744505959{'learning_rate': 0.2, 'n_estimators': 20}
0.8842555009060626{'learning_rate': 0.2, 'n_estimators': 40}
0.8851880967021002{'learning_rate': 0.2, 'n_estimators': 60}
0.8835585698360896{'learning_rate': 0.2, 'n_estimators': 80}
0.8842064707756367{'learning_rate': 0.2, 'n_estimators': 100}
0.8842162746818542{'learning_rate': 0.2, 'n_estimators': 120}
0.8828616088952538{'learning_rate': 0.2, 'n_estimators': 140}
0.8836665549319745{'learning_rate': 0.2, 'n_estimators': 160}
0.8823707891869885{'learning_rate': 0.2, 'n_estimators': 180}
0.8831560806778276{'learning_rate': 0.2, 'n_estimators': 200}
