0.7388854063370794{'learning_rate': 0.01, 'n_estimators': 20}
0.8525586376477658{'learning_rate': 0.01, 'n_estimators': 40}
0.8795731843965694{'learning_rate': 0.01, 'n_estimators': 60}
0.8870532492693382{'learning_rate': 0.01, 'n_estimators': 80}
0.8920988455754688{'learning_rate': 0.01, 'n_estimators': 100}
0.8943860527160504{'learning_rate': 0.01, 'n_estimators': 120}
0.8963689542969778{'learning_rate': 0.01, 'n_estimators': 140}
0.8977137891972266{'learning_rate': 0.01, 'n_estimators': 160}
0.8985874353274743{'learning_rate': 0.01, 'n_estimators': 180}
0.8990586130163487{'learning_rate': 0.01, 'n_estimators': 200}
0.8919025068037515{'learning_rate': 0.05, 'n_estimators': 20}
0.8990291670907405{'learning_rate': 0.05, 'n_estimators': 40}
0.9012378485511127{'learning_rate': 0.05, 'n_estimators': 60}
0.9023765369191216{'learning_rate': 0.05, 'n_estimators': 80}
0.9027888237203557{'learning_rate': 0.05, 'n_estimators': 100}
0.903426888473882{'learning_rate': 0.05, 'n_estimators': 120}
0.9037606433316612{'learning_rate': 0.05, 'n_estimators': 140}
0.9041631127366105{'learning_rate': 0.05, 'n_estimators': 160}
0.9043692568599099{'learning_rate': 0.05, 'n_estimators': 180}
0.9046539319630877{'learning_rate': 0.05, 'n_estimators': 200}
0.8968990252824331{'learning_rate': 0.1, 'n_estimators': 20}
0.8994316326413851{'learning_rate': 0.1, 'n_estimators': 40}
0.8994021809343197{'learning_rate': 0.1, 'n_estimators': 60}
0.8995985028434532{'learning_rate': 0.1, 'n_estimators': 80}
0.8981653027044573{'learning_rate': 0.1, 'n_estimators': 100}
0.8980573508519519{'learning_rate': 0.1, 'n_estimators': 120}
0.8971444428451756{'learning_rate': 0.1, 'n_estimators': 140}
0.8965456558671854{'learning_rate': 0.1, 'n_estimators': 160}
0.8962708087596305{'learning_rate': 0.1, 'n_estimators': 180}
0.8962708087596305{'learning_rate': 0.1, 'n_estimators': 200}
0.8978610115984464{'learning_rate': 0.2, 'n_estimators': 20}
0.8927368958753519{'learning_rate': 0.2, 'n_estimators': 40}
0.8942682323977209{'learning_rate': 0.2, 'n_estimators': 60}
0.8931295199403063{'learning_rate': 0.2, 'n_estimators': 80}
0.893158966829491{'learning_rate': 0.2, 'n_estimators': 100}
0.8930117328653564{'learning_rate': 0.2, 'n_estimators': 120}
0.8925405387956863{'learning_rate': 0.2, 'n_estimators': 140}
0.8924325676716565{'learning_rate': 0.2, 'n_estimators': 160}
0.8918828459946244{'learning_rate': 0.2, 'n_estimators': 180}
0.8914705649748477{'learning_rate': 0.2, 'n_estimators': 200}
