0.7665675129074045{'learning_rate': 0.01, 'n_estimators': 20}
0.8620510432820371{'learning_rate': 0.01, 'n_estimators': 40}
0.8809867502247842{'learning_rate': 0.01, 'n_estimators': 60}
0.8862581134020806{'learning_rate': 0.01, 'n_estimators': 80}
0.8887121970079754{'learning_rate': 0.01, 'n_estimators': 100}
0.890086485060654{'learning_rate': 0.01, 'n_estimators': 120}
0.8911270177737656{'learning_rate': 0.01, 'n_estimators': 140}
0.8921086538177793{'learning_rate': 0.01, 'n_estimators': 160}
0.8928939554261687{'learning_rate': 0.01, 'n_estimators': 180}
0.8934338539254589{'learning_rate': 0.01, 'n_estimators': 200}
0.8884177107717584{'learning_rate': 0.05, 'n_estimators': 20}
0.8934927530034971{'learning_rate': 0.05, 'n_estimators': 40}
0.8958094036607465{'learning_rate': 0.05, 'n_estimators': 60}
0.8971542443424525{'learning_rate': 0.05, 'n_estimators': 80}
0.898410743874817{'learning_rate': 0.05, 'n_estimators': 100}
0.8992549474519732{'learning_rate': 0.05, 'n_estimators': 120}
0.8999715427035901{'learning_rate': 0.05, 'n_estimators': 140}
0.9001187891942154{'learning_rate': 0.05, 'n_estimators': 160}
0.9005605228846341{'learning_rate': 0.05, 'n_estimators': 180}
0.9005899688102424{'learning_rate': 0.05, 'n_estimators': 200}
0.8922657027692578{'learning_rate': 0.1, 'n_estimators': 20}
0.8965652588617395{'learning_rate': 0.1, 'n_estimators': 40}
0.8981849673678891{'learning_rate': 0.1, 'n_estimators': 60}
0.8990095409703575{'learning_rate': 0.1, 'n_estimators': 80}
0.8991764150267303{'learning_rate': 0.1, 'n_estimators': 100}
0.8994414563009151{'learning_rate': 0.1, 'n_estimators': 120}
0.8997948469148398{'learning_rate': 0.1, 'n_estimators': 140}
0.8993236571812625{'learning_rate': 0.1, 'n_estimators': 160}
0.8991076893984333{'learning_rate': 0.1, 'n_estimators': 180}
0.8992451175291979{'learning_rate': 0.1, 'n_estimators': 200}
0.8929430419258034{'learning_rate': 0.2, 'n_estimators': 20}
0.8856102293251172{'learning_rate': 0.2, 'n_estimators': 40}
0.8859047073709364{'learning_rate': 0.2, 'n_estimators': 60}
0.8836861892427554{'learning_rate': 0.2, 'n_estimators': 80}
0.8861010668595426{'learning_rate': 0.2, 'n_estimators': 100}
0.8829009083512549{'learning_rate': 0.2, 'n_estimators': 120}
0.8864347759474513{'learning_rate': 0.2, 'n_estimators': 140}
0.8866703674417232{'learning_rate': 0.2, 'n_estimators': 160}
0.8867783535011842{'learning_rate': 0.2, 'n_estimators': 180}
0.8864249628872598{'learning_rate': 0.2, 'n_estimators': 200}
