0.769689098520248{'learning_rate': 0.01, 'n_estimators': 20}
0.8831561519824678{'learning_rate': 0.01, 'n_estimators': 40}
0.9028477280980631{'learning_rate': 0.01, 'n_estimators': 60}
0.9108185977436658{'learning_rate': 0.01, 'n_estimators': 80}
0.914754948234879{'learning_rate': 0.01, 'n_estimators': 100}
0.9165709767230098{'learning_rate': 0.01, 'n_estimators': 120}
0.9181612234045435{'learning_rate': 0.01, 'n_estimators': 140}
0.9194078954230731{'learning_rate': 0.01, 'n_estimators': 160}
0.9201343042166699{'learning_rate': 0.01, 'n_estimators': 180}
0.921106122864399{'learning_rate': 0.01, 'n_estimators': 200}
0.9140972496523597{'learning_rate': 0.05, 'n_estimators': 20}
0.9208803458756829{'learning_rate': 0.05, 'n_estimators': 40}
0.9246498150837017{'learning_rate': 0.05, 'n_estimators': 60}
0.9268094153441082{'learning_rate': 0.05, 'n_estimators': 80}
0.9279579206266136{'learning_rate': 0.05, 'n_estimators': 100}
0.9285468998440812{'learning_rate': 0.05, 'n_estimators': 120}
0.928959189536044{'learning_rate': 0.05, 'n_estimators': 140}
0.9289395605249322{'learning_rate': 0.05, 'n_estimators': 160}
0.9290966181485967{'learning_rate': 0.05, 'n_estimators': 180}
0.9292438617484935{'learning_rate': 0.05, 'n_estimators': 200}
0.9190348733890963{'learning_rate': 0.1, 'n_estimators': 20}
0.924571285067399{'learning_rate': 0.1, 'n_estimators': 40}
0.925199520379938{'learning_rate': 0.1, 'n_estimators': 60}
0.925140621783688{'learning_rate': 0.1, 'n_estimators': 80}
0.9247676161305067{'learning_rate': 0.1, 'n_estimators': 100}
0.9224116607175873{'learning_rate': 0.1, 'n_estimators': 120}
0.9216459914928266{'learning_rate': 0.1, 'n_estimators': 140}
0.9213220627035177{'learning_rate': 0.1, 'n_estimators': 160}
0.9211650050798534{'learning_rate': 0.1, 'n_estimators': 180}
0.9209785150206476{'learning_rate': 0.1, 'n_estimators': 200}
0.9216264092151611{'learning_rate': 0.2, 'n_estimators': 20}
0.9200557746821554{'learning_rate': 0.2, 'n_estimators': 40}
0.9158543621998685{'learning_rate': 0.2, 'n_estimators': 60}
0.9178372816069562{'learning_rate': 0.2, 'n_estimators': 80}
0.9173170333174543{'learning_rate': 0.2, 'n_estimators': 100}
0.9160998086698975{'learning_rate': 0.2, 'n_estimators': 120}
0.9159721882996553{'learning_rate': 0.2, 'n_estimators': 140}
0.9152555935298265{'learning_rate': 0.2, 'n_estimators': 160}
0.914872757472082{'learning_rate': 0.2, 'n_estimators': 180}
0.914244513487357{'learning_rate': 0.2, 'n_estimators': 200}
