0.8025836369100279{'learning_rate': 0.01, 'n_estimators': 20}
0.9090418147512679{'learning_rate': 0.01, 'n_estimators': 40}
0.9277517663857642{'learning_rate': 0.01, 'n_estimators': 60}
0.9329446241179513{'learning_rate': 0.01, 'n_estimators': 80}
0.9346723090478{'learning_rate': 0.01, 'n_estimators': 100}
0.9358011862827699{'learning_rate': 0.01, 'n_estimators': 120}
0.9364883336816259{'learning_rate': 0.01, 'n_estimators': 140}
0.9371362119771319{'learning_rate': 0.01, 'n_estimators': 160}
0.9374797803768906{'learning_rate': 0.01, 'n_estimators': 180}
0.937901882647257{'learning_rate': 0.01, 'n_estimators': 200}
0.9340636873291535{'learning_rate': 0.05, 'n_estimators': 20}
0.9374307006222896{'learning_rate': 0.05, 'n_estimators': 40}
0.9384515980610437{'learning_rate': 0.05, 'n_estimators': 60}
0.9393056166255441{'learning_rate': 0.05, 'n_estimators': 80}
0.9395902912469338{'learning_rate': 0.05, 'n_estimators': 100}
0.9395902888379932{'learning_rate': 0.05, 'n_estimators': 120}
0.9395804685509802{'learning_rate': 0.05, 'n_estimators': 140}
0.9397080773583077{'learning_rate': 0.05, 'n_estimators': 160}
0.939688444492891{'learning_rate': 0.05, 'n_estimators': 180}
0.9395608323130465{'learning_rate': 0.05, 'n_estimators': 200}
0.9368024595282932{'learning_rate': 0.1, 'n_estimators': 20}
0.9374503137343938{'learning_rate': 0.1, 'n_estimators': 40}
0.9380785654277286{'learning_rate': 0.1, 'n_estimators': 60}
0.9379804357893887{'learning_rate': 0.1, 'n_estimators': 80}
0.9376564790563698{'learning_rate': 0.1, 'n_estimators': 100}
0.9365963081781725{'learning_rate': 0.1, 'n_estimators': 120}
0.9365177800890224{'learning_rate': 0.1, 'n_estimators': 140}
0.9365177791254462{'learning_rate': 0.1, 'n_estimators': 160}
0.9360956840819016{'learning_rate': 0.1, 'n_estimators': 180}
0.935624497720841{'learning_rate': 0.1, 'n_estimators': 200}
0.9280167642990195{'learning_rate': 0.2, 'n_estimators': 20}
0.9284781703614797{'learning_rate': 0.2, 'n_estimators': 40}
0.9301764170743297{'learning_rate': 0.2, 'n_estimators': 60}
0.9291456810406142{'learning_rate': 0.2, 'n_estimators': 80}
0.9282818378530078{'learning_rate': 0.2, 'n_estimators': 100}
0.9270057213542341{'learning_rate': 0.2, 'n_estimators': 120}
0.9259160925057257{'learning_rate': 0.2, 'n_estimators': 140}
0.9254154616644215{'learning_rate': 0.2, 'n_estimators': 160}
0.9237761145113975{'learning_rate': 0.2, 'n_estimators': 180}
0.9228632932264806{'learning_rate': 0.2, 'n_estimators': 200}
