0.9374564385351725{'learning_rate': 0.01, 'n_estimators': 20}
0.9391728536847953{'learning_rate': 0.01, 'n_estimators': 40}
0.9404027988353372{'learning_rate': 0.01, 'n_estimators': 60}
0.9414950625715042{'learning_rate': 0.01, 'n_estimators': 80}
0.9421238030354709{'learning_rate': 0.01, 'n_estimators': 100}
0.9429177614283676{'learning_rate': 0.01, 'n_estimators': 120}
0.9438769357493226{'learning_rate': 0.01, 'n_estimators': 140}
0.9445653373451289{'learning_rate': 0.01, 'n_estimators': 160}
0.945180310025709{'learning_rate': 0.01, 'n_estimators': 180}
0.9457585679854033{'learning_rate': 0.01, 'n_estimators': 200}
0.9421880541656025{'learning_rate': 0.05, 'n_estimators': 20}
0.945786103973413{'learning_rate': 0.05, 'n_estimators': 40}
0.9477319877608611{'learning_rate': 0.05, 'n_estimators': 60}
0.9490445411913593{'learning_rate': 0.05, 'n_estimators': 80}
0.9500312526587233{'learning_rate': 0.05, 'n_estimators': 100}
0.9507930830644469{'learning_rate': 0.05, 'n_estimators': 120}
0.9514539486722435{'learning_rate': 0.05, 'n_estimators': 140}
0.9521423506892861{'learning_rate': 0.05, 'n_estimators': 160}
0.9529179490890145{'learning_rate': 0.05, 'n_estimators': 180}
0.9534090108766404{'learning_rate': 0.05, 'n_estimators': 200}
0.9456438354040893{'learning_rate': 0.1, 'n_estimators': 20}
0.9490491315055782{'learning_rate': 0.1, 'n_estimators': 40}
0.950669170802476{'learning_rate': 0.1, 'n_estimators': 60}
0.952027619898225{'learning_rate': 0.1, 'n_estimators': 80}
0.9532300280076671{'learning_rate': 0.1, 'n_estimators': 100}
0.9543085235392113{'learning_rate': 0.1, 'n_estimators': 120}
0.9552034464141078{'learning_rate': 0.1, 'n_estimators': 140}
0.9561167251751213{'learning_rate': 0.1, 'n_estimators': 160}
0.9568188964498766{'learning_rate': 0.1, 'n_estimators': 180}
0.9575899067468752{'learning_rate': 0.1, 'n_estimators': 200}
0.9492923657153012{'learning_rate': 0.2, 'n_estimators': 20}
0.9513300390429977{'learning_rate': 0.2, 'n_estimators': 40}
0.9532483863158909{'learning_rate': 0.2, 'n_estimators': 60}
0.9541662525477804{'learning_rate': 0.2, 'n_estimators': 80}
0.9546160034029972{'learning_rate': 0.2, 'n_estimators': 100}
0.9554374925184532{'learning_rate': 0.2, 'n_estimators': 120}
0.9215587867353745{'learning_rate': 0.2, 'n_estimators': 140}
0.937699581863224{'learning_rate': 0.2, 'n_estimators': 160}
0.9066525133821154{'learning_rate': 0.2, 'n_estimators': 180}
0.917795492144838{'learning_rate': 0.2, 'n_estimators': 200}
