0.8016805193194021{'learning_rate': 0.01, 'n_estimators': 20}
0.9079522162554102{'learning_rate': 0.01, 'n_estimators': 40}
0.92849782008948{'learning_rate': 0.01, 'n_estimators': 60}
0.9341520381142573{'learning_rate': 0.01, 'n_estimators': 80}
0.9362232774720095{'learning_rate': 0.01, 'n_estimators': 100}
0.9370773051904839{'learning_rate': 0.01, 'n_estimators': 120}
0.9375092229299822{'learning_rate': 0.01, 'n_estimators': 140}
0.9380883910144109{'learning_rate': 0.01, 'n_estimators': 160}
0.9384515942067388{'learning_rate': 0.01, 'n_estimators': 180}
0.9388540698749338{'learning_rate': 0.01, 'n_estimators': 200}
0.9350649600928888{'learning_rate': 0.05, 'n_estimators': 20}
0.9380196870665788{'learning_rate': 0.05, 'n_estimators': 40}
0.9388638964251925{'learning_rate': 0.05, 'n_estimators': 60}
0.9394528823876935{'learning_rate': 0.05, 'n_estimators': 80}
0.9395903042552127{'learning_rate': 0.05, 'n_estimators': 100}
0.9395117665303004{'learning_rate': 0.05, 'n_estimators': 120}
0.9397277319041892{'learning_rate': 0.05, 'n_estimators': 140}
0.9398847948275229{'learning_rate': 0.05, 'n_estimators': 160}
0.9396295680588936{'learning_rate': 0.05, 'n_estimators': 180}
0.9396393840098141{'learning_rate': 0.05, 'n_estimators': 200}
0.93733254544918{'learning_rate': 0.1, 'n_estimators': 20}
0.9366453835966807{'learning_rate': 0.1, 'n_estimators': 40}
0.9338084417707881{'learning_rate': 0.1, 'n_estimators': 60}
0.9371951178002036{'learning_rate': 0.1, 'n_estimators': 80}
0.9353300143753527{'learning_rate': 0.1, 'n_estimators': 100}
0.9358306341355306{'learning_rate': 0.1, 'n_estimators': 120}
0.9355361353728225{'learning_rate': 0.1, 'n_estimators': 140}
0.9350943934920062{'learning_rate': 0.1, 'n_estimators': 160}
0.9349275165449047{'learning_rate': 0.1, 'n_estimators': 180}
0.9350060364436569{'learning_rate': 0.1, 'n_estimators': 200}
0.913488449190325{'learning_rate': 0.2, 'n_estimators': 20}
0.9307948460717107{'learning_rate': 0.2, 'n_estimators': 40}
0.9288610184639271{'learning_rate': 0.2, 'n_estimators': 60}
0.928046265148472{'learning_rate': 0.2, 'n_estimators': 80}
0.92775177505795{'learning_rate': 0.2, 'n_estimators': 100}
0.9266327084742312{'learning_rate': 0.2, 'n_estimators': 120}
0.9256903347885341{'learning_rate': 0.2, 'n_estimators': 140}
0.9248854027236686{'learning_rate': 0.2, 'n_estimators': 160}
0.9223528074094194{'learning_rate': 0.2, 'n_estimators': 180}
0.9239626700937862{'learning_rate': 0.2, 'n_estimators': 200}
